MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Number of jobs (multiplexed): 2
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 9 of 512 done! Time = 19.8307 s
Job number 12 of 512 done! Time = 19.8093 s
Job number 18 of 512 done! Time = 19.8153 s
Job number 30 of 512 done! Time = 19.8159 s
Job number 36 of 512 done! Time = 19.7876 s
Job number 6 of 512 done! Time = 20.8493 s
Job number 21 of 512 done! Time = 20.8304 s
Job number 33 of 512 done! Time = 20.8382 s
Job number 3 of 512 done! Time = 20.9031 s
Job number 15 of 512 done! Time = 20.9316 s
Job number 24 of 512 done! Time = 20.9806 s
Job number 27 of 512 done! Time = 20.8766 s
Job number 8 of 512 done! Time = 12.7012 s
Job number 11 of 512 done! Time = 12.6582 s
Job number 17 of 512 done! Time = 12.7977 s
Job number 29 of 512 done! Time = 12.8181 s
Job number 35 of 512 done! Time = 12.8446 s
Job number 2 of 512 done! Time = 13.8893 s
Job number 5 of 512 done! Time = 13.6014 s
Job number 20 of 512 done! Time = 13.7715 s
Job number 23 of 512 done! Time = 13.8413 s
Job number 26 of 512 done! Time = 13.7065 s
Job number 32 of 512 done! Time = 13.9102 s
Job number 14 of 512 done! Time = 14.1596 s
Job number 7 of 512 done! Time = 12.7409 s
Job number 10 of 512 done! Time = 12.6302 s
Job number 16 of 512 done! Time = 12.7857 s
Job number 28 of 512 done! Time = 12.7831 s
Job number 34 of 512 done! Time = 12.8464 s
Job number 4 of 512 done! Time = 13.8278 s
Job number 31 of 512 done! Time = 13.5051 s
Job number 1 of 512 done! Time = 14.0662 s
Job number 19 of 512 done! Time = 13.7672 s
Job number 22 of 512 done! Time = 13.8983 s
Job number 25 of 512 done! Time = 13.83 s
Job number 13 of 512 done! Time = 14.1983 s
Job number 96 of 512 done! Time = 12.5819 s
Job number 116 of 512 done! Time = 12.4367 s
Job number 156 of 512 done! Time = 12.5767 s
Job number 236 of 512 done! Time = 12.6314 s
Job number 276 of 512 done! Time = 12.6493 s
Job number 76 of 512 done! Time = 13.5542 s
Job number 176 of 512 done! Time = 13.4115 s
Job number 196 of 512 done! Time = 13.4562 s
Job number 216 of 512 done! Time = 13.4273 s
Job number 256 of 512 done! Time = 13.3338 s
Job number 56 of 512 done! Time = 13.6177 s
Job number 136 of 512 done! Time = 13.6883 s
Job number 115 of 512 done! Time = 12.6101 s
Job number 95 of 512 done! Time = 12.7377 s
Job number 155 of 512 done! Time = 12.7235 s
Job number 235 of 512 done! Time = 12.775 s
Job number 275 of 512 done! Time = 12.8454 s
Job number 175 of 512 done! Time = 13.4186 s
Job number 215 of 512 done! Time = 13.3515 s
Job number 255 of 512 done! Time = 13.635 s
Job number 55 of 512 done! Time = 13.5597 s
Job number 75 of 512 done! Time = 13.6595 s
Job number 195 of 512 done! Time = 13.4435 s
Job number 135 of 512 done! Time = 13.7867 s
Job number 94 of 512 done! Time = 12.5671 s
Job number 114 of 512 done! Time = 12.3477 s
Job number 154 of 512 done! Time = 12.5862 s
Job number 234 of 512 done! Time = 12.5739 s
Job number 274 of 512 done! Time = 12.5359 s
Job number 74 of 512 done! Time = 13.3581 s
Job number 174 of 512 done! Time = 13.7024 s
Job number 194 of 512 done! Time = 13.343 s
Job number 214 of 512 done! Time = 13.2532 s
Job number 254 of 512 done! Time = 13.3665 s
Job number 54 of 512 done! Time = 13.5611 s
Job number 134 of 512 done! Time = 14.0509 s
Job number 113 of 512 done! Time = 12.3652 s
