MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 1 of 200 done! Time = 7.4313 s
Job number 4 of 200 done! Time = 7.4406 s
Job number 5 of 200 done! Time = 7.44297 s
Job number 6 of 200 done! Time = 7.42492 s
Job number 7 of 200 done! Time = 7.40047 s
Job number 9 of 200 done! Time = 7.4256 s
Job number 10 of 200 done! Time = 7.38645 s
Job number 11 of 200 done! Time = 7.44131 s
Job number 12 of 200 done! Time = 7.41201 s
Job number 2 of 200 done! Time = 7.43867 s
Job number 3 of 200 done! Time = 7.44406 s
Job number 8 of 200 done! Time = 7.43818 s
Job number 20 of 200 done! Time = 0.739749 s
Job number 19 of 200 done! Time = 0.6834 s
Job number 28 of 200 done! Time = 0.76205 s
Job number 27 of 200 done! Time = 0.678302 s
Job number 36 of 200 done! Time = 0.781448 s
Job number 35 of 200 done! Time = 0.705712 s
Job number 44 of 200 done! Time = 0.795598 s
Job number 43 of 200 done! Time = 0.69933 s
Job number 52 of 200 done! Time = 0.742211 s
Job number 51 of 200 done! Time = 0.689492 s
Job number 60 of 200 done! Time = 0.744577 s
Job number 59 of 200 done! Time = 0.687218 s
Job number 68 of 200 done! Time = 0.792412 s
Job number 67 of 200 done! Time = 0.711854 s
Job number 76 of 200 done! Time = 0.767878 s
Job number 75 of 200 done! Time = 0.685184 s
Job number 84 of 200 done! Time = 0.744712 s
Job number 83 of 200 done! Time = 0.685769 s
Job number 92 of 200 done! Time = 0.800523 s
Job number 91 of 200 done! Time = 0.698114 s
Job number 100 of 200 done! Time = 0.744132 s
Job number 99 of 200 done! Time = 0.685524 s
Job number 108 of 200 done! Time = 0.750439 s
Job number 107 of 200 done! Time = 0.688104 s
